datetime;action;status;task
2021-05-19T09:04:15;pomodoro;start;
2021-05-19T09:38:21;pomodoro;end;
2021-05-19T09:38:30;break;start;
2021-05-19T09:44:33;break;end;
2021-05-19T09:44:54;pomodoro;start;
2021-05-19T10:18:57;pomodoro;end;
2021-05-19T10:20:48;break;start;
2021-05-19T10:26:50;break;end;
2021-05-19T10:27:30;pomodoro;start;
2021-05-19T11:01:39;pomodoro;end;
2021-05-19T11:01:55;break;start;
2021-05-19T11:07:57;break;end;
2021-05-19T11:08:20;pomodoro;start;
2021-05-19T11:42:22;pomodoro;end;
2021-05-19T11:47:30;break;start;
2021-05-19T11:53:33;break;end;
2021-05-19T11:53:51;pomodoro;start;
2021-05-19T12:27:53;pomodoro;end;
2021-05-19T12:30:37;break;start;
2021-05-19T12:36:39;break;end;
2021-05-19T12:36:49;pomodoro;start;
2021-05-19T13:10:51;pomodoro;end;
2021-05-19T13:11:06;break;start;
2021-05-19T13:17:09;break;end;
2021-05-19T13:17:18;pomodoro;start;
2021-05-19T13:51:20;pomodoro;end;
2021-05-19T13:53:08;break;start;
2021-05-19T13:59:11;break;end;
2021-05-19T13:59:55;pomodoro;start;
2021-05-19T14:33:58;pomodoro;end;
2021-05-19T14:36:21;break;start;
2021-05-19T14:42:23;break;end;
2021-05-19T14:42:32;break;start;
2021-05-19T14:48:35;break;end;
2021-05-19T14:48:36;pomodoro;start;
2021-05-19T15:22:39;pomodoro;end;
2021-05-19T15:26:58;break;start;
2021-05-19T15:33:01;break;end;
2021-05-19T15:33:01;pomodoro;start;
2021-05-19T16:07:04;pomodoro;end;
2021-05-19T16:08:32;break;start;
2021-05-19T16:14:34;break;end;
2021-05-20T06:03:44;pomodoro;start;
2021-05-20T06:37:47;pomodoro;end;
2021-05-20T06:37:55;break;start;
2021-05-20T06:43:58;break;end;
2021-05-20T06:44:00;pomodoro;start;
2021-05-20T07:18:03;pomodoro;end;
2021-05-20T07:20:02;break;start;
2021-05-20T07:26:04;break;end;
2021-05-20T07:26:37;pomodoro;start;
2021-05-20T08:00:39;pomodoro;end;
2021-05-20T08:04:44;break;start;
2021-05-20T08:10:47;break;end;
2021-05-20T08:11:54;pomodoro;start;
2021-05-20T08:45:57;pomodoro;end;
2021-05-20T08:46:20;break;start;
2021-05-20T08:52:23;break;end;
2021-05-20T08:52:30;pomodoro;start;
2021-05-20T09:26:32;pomodoro;end;
2021-05-20T09:31:34;break;start;
2021-05-20T09:37:36;break;end;
2021-05-20T09:45:35;pomodoro;start;
2021-05-20T10:19:37;pomodoro;end;
2021-05-20T10:29:28;break;start;
2021-05-20T10:35:31;break;end;
2021-05-20T10:35:51;pomodoro;start;
2021-05-20T11:09:53;pomodoro;end;
